,0,TF
49586|FOSB,0.02029691921041918,FOSB
48619|NFYB,0.021688241780469127,NFYB
55331|NBN,0.022146622214644106,NBN
36204|TRIM28,0.023318051244517152,TRIM28
6011|MAPK8,0.024030340787498685,MAPK8
51365|ZIC2,0.024214332889699302,ZIC2
40089|KDM6B,0.02439063260525582,KDM6B
5919|TBX20,0.025712341065600604,TBX20
37756|RBBP5,0.026574560122898442,RBBP5
41547|CLOCK,0.02691683467104739,CLOCK
9184|PAX3,0.027732213063632764,PAX3
50095|NR0B1,0.030833091515609416,NR0B1
35256|MBD4,0.03165496932074975,MBD4
32775|BMI1,0.03320028569483072,BMI1
5581|SOX6,0.03333964521636536,SOX6
41713|H3S28ph,0.03466801284782351,H3S28ph
52828|GRHL2,0.034697531559055195,GRHL2
34641|MYBL1,0.03663123706582817,MYBL1
44273|SREBF1,0.03701115675661704,SREBF1
49497|CDK8,0.03720725555560233,CDK8
37573|ISL1,0.03755382603941544,ISL1
44163|ELK4,0.03801310600930351,ELK4
44|NPAS4,0.0383954137676146,NPAS4
9260|HDAC2,0.03948903121857111,HDAC2
41753|ASH1L,0.03954443849991978,ASH1L
52659|PKNOX1,0.041355086904281115,PKNOX1
56594|ACTB,0.04167427426245659,ACTB
48658|ATRX,0.042333638102721116,ATRX
48407|TAF9B,0.043213791071088664,TAF9B
5367|LUZP1,0.044315867325430046,LUZP1
44202|BIRA,0.04555283685263282,BIRA
59181|NR0B2,0.04793780932330802,NR0B2
3002|ATOH1,0.04887920480591301,ATOH1
4604|TAF1,0.04891466721659207,TAF1
52816|SIRT6,0.04917766246656489,SIRT6
2907|NELFA,0.049494069703783734,NELFA
33050|SRSF2,0.04998437325789929,SRSF2
37787|CRY2,0.05037442172149735,CRY2
53084|NKX3-2,0.05177978857368061,NKX3-2
57767|FOXD3,0.0523565468557213,FOXD3
55304|PRDM1,0.053213449138909984,PRDM1
47616|MSL1,0.05362151310093582,MSL1
33368|LHX2,0.054747606283520225,LHX2
58983|SETDB1,0.05582740351695091,SETDB1
3294|GTF2E2,0.05694832921235358,GTF2E2
51036|TDG,0.058549824712068245,TDG
3244|ERCC3,0.05981160727881192,ERCC3
41940|HIRA,0.060213320286747266,HIRA
41418|PSMB1,0.060263656626451584,PSMB1
9183|PAX7,0.0606776321782413,PAX7
54705|BRWD1,0.06095043799173295,BRWD1
50131|EED,0.060977904234836726,EED
