gene_symbol,MIP56_Myo_1,MIP56_Myo_2,MIP56_Myo_3,MIP56_Myo_4,DS_value,p_value
Elfn2,0.174611064831124,0.199222703427808,0.0926042428933611,0.125254312879861,0.147923081008039,0.0110132158590308
Dsp,0.119194632254558,0.128016503917949,0.131519274042316,0.12543767504353,0.126042021314588,0.0110132158590308
Ebf1,0.121362391535433,0.118588200406657,0.142204608494611,0.120087021553826,0.125560555497632,0.0110132158590308
Cntfr,0.108189584753958,0.0997977364010299,0.0719201574833156,0.0658881240558252,0.0864489006735323,0.0110132158590308
Pcdh1,0.0867487834841824,0.0872043422601545,0.0823532420743334,0.0884444048637134,0.0861876931705959,0.0110132158590308
Itga9,0.0845750323399967,0.0822431985125823,0.0864902866696847,0.0883891974714722,0.085424428748434,0.0110132158590308
Ephb3,0.0660921045120429,0.0686101106848129,0.0618772198258395,0.069267995609543,0.0664618576580596,0.0110132158590308
C1qb,0.0612937685182118,0.0490970091701049,0.06017786106662,0.0589856463901904,0.0573885712862818,0.0110132158590308
Rap1gap,0.0633877565583791,0.0575825585625113,0.0508864960913772,0.0561368280573184,0.0569984098173965,0.0110132158590308
Hoxa7,0.0326637900561098,0.0319387597311003,0.0211734223199158,0.0342819011484893,0.0300144683139038,0.0110132158590308
Olfm1,0.222910249555253,0.139269567454287,0.20400539756853,0.202576079123714,0.192190323425446,0.0117474302496329
Ripk4,0.210892018663555,0.160390883849524,0.123489767103238,0.23329608553254,0.182017188787214,0.0117474302496329
Adcy5,0.131497673075847,0.126814447352514,0.113992481716394,0.130879461297841,0.125796015860649,0.0117474302496329
Ano1,0.10473115934232,0.117463927271624,0.123417707539626,0.120025553000509,0.116409586788519,0.0117474302496329
Adamtsl2,0.115750571798534,0.0897266304302318,0.103865380533461,0.133950618677163,0.110823300359847,0.0117474302496329
Arhgap36,0.0851111009897981,0.0718856820157211,0.0914749360229942,0.132609548457027,0.095270316871385,0.0117474302496329
Arhgap29,0.049680253721944,0.0539964462323013,0.0688451420768049,0.0507703007184274,0.0558230356873694,0.0117474302496329
Mn1,0.0462297643643407,0.0530672927680938,0.0457746469084154,0.0533589323080145,0.0496076590872161,0.0117474302496329
Gsg1l,0.0484166193405619,0.0404320782682795,0.0408058195457975,0.0365860763069318,0.0415601483653927,0.0117474302496329
Tbx1,0.0724476782632248,0.0196918560622086,0.0254707705724941,0.0406486861957392,0.0395647477734167,0.0117474302496329
Nfib,0.133980119874851,0.138844161745956,0.162068231356712,0.147510193048739,0.145600676506564,0.0124816446402349
Tbkbp1,0.120605460480433,0.124381312716639,0.117378894420335,0.128930858202945,0.122824131455088,0.0124816446402349
Phactr3,0.11452892614838,0.10534284367449,0.10904441156756,0.138721138743606,0.116909330033509,0.0124816446402349
Scn5a,0.120252583118185,0.1111530746741,0.110102558480271,0.121228651573208,0.115684216961441,0.0124816446402349
Nfic,0.0999070611370666,0.0947119682557644,0.0923277402523315,0.108677608643656,0.0989060945722045,0.0124816446402349
Mecom,0.0799627290499052,0.0858685876167501,0.106805923130187,0.0755106272203395,0.0870369667542953,0.0124816446402349
Cbx4,0.0881680402645166,0.0807819917712815,0.0806958850461132,0.0936279868929687,0.08581847599372,0.0124816446402349
Eml1,0.073146561416077,0.0736164145752528,0.0706906507837585,0.0730238435006975,0.0726193675689464,0.0124816446402349
Nr2f1,0.0434374284950665,0.0950026945141912,0.0937538322842214,0.0527088049371875,0.0712256900576667,0.0124816446402349
Osr1,0.0499163983632191,0.0647273043071554,0.0536865425280462,0.0870645618244952,0.0638487017557289,0.0124816446402349
Rai2,0.0552020198272165,0.0585600956581165,0.0515904879656619,0.058341571888709,0.055923543834926,0.0124816446402349
Mthfsd,0.050069970242607,0.0487498771034047,0.0431633118182393,0.046540512218058,0.0471309178455773,0.0124816446402349
Foxf2,0,0.0235548487470275,0.0156154078743675,0.070297170557962,0.0273668567948392,0.0124816446402349
Ankrd1,0.104409889135499,0.0931228501119982,0.103757625582087,0.0985490359981087,0.0999598502069232,0.013215859030837
Helt,0.0362983142552777,0.126069844268101,0.0703691901066178,0.135899083174188,0.092159107951046,0.013215859030837
Ehbp1,0.0813710196376472,0.0848781079488216,0.0990972570986467,0.0824967504698518,0.0869607837887418,0.013215859030837
Clybl,0.0734332739125388,0.0758217403838259,0.0663804701618952,0.0736524006520381,0.0723219712775745,0.013215859030837
Camta1,0.0689704545450377,0.0670891170247579,0.0731178981545841,0.0724187328481528,0.0703990506431331,0.013215859030837
Nptx1,0.076872213795798,0,0.0114379715856264,0.0356152388632508,0.0309813560611688,0.013215859030837
Sypl2,0.194917525456063,0.130033431904072,0.122037896808004,0.156373104106281,0.150840489568605,0.0139500734214391
