,0,TF
MC00511|Rxrg,0.06622371382941052,Rxrg
MC00505|POLR2B,0.07016583481360161,POLR2B
MS00161|RFX2,0.07233942535414185,RFX2
MC00204|Stat5b,0.07464012057316766,Stat5b
MC00120|GATA1,0.07697426674313917,GATA1
MA0051|IRF2,0.0783317739669797,IRF2
MS00658|NR2F6,0.07980901262714374,NR2F6
UP00184|Lhx8,0.08207276018578237,Lhx8
MC00141|Stat1,0.08979008131137795,Stat1
MS00197|TBX1,0.08986658893616065,TBX1
M01305|TEF,0.0911763248672365,TEF
MS00169|RFX5,0.09251135316137962,RFX5
MS00394|Foxj3,0.09623033635892077,Foxj3
M01262|TBX18,0.10145999799579365,TBX18
MS00096|TGIF2,0.10165940163612351,TGIF2
M00526|NR6A1,0.10513051130970258,NR6A1
MS00739|E2F8,0.1060653409410956,E2F8
UP00249|NKX2-5,0.10654733392101427,NKX2-5
MS00475|HMX3,0.11102661141404475,HMX3
M00712|MYOG,0.11757420847522253,MYOG
MA0161|NFIC,0.11762446527605387,NFIC
MS00398|Foxk1,0.11997296146834682,Foxk1
M01306|ZNF217,0.12423090301418527,ZNF217
UP00019|ZBTB12,0.1296253070123498,ZBTB12
MS00820|NFIA,0.1325780767426278,NFIA
MS00093|Pknox2,0.13590294611114886,Pknox2
UP00043|Bcl6b,0.13943591329010963,Bcl6b
MS00580|Nkx3-1,0.14055851951736809,Nkx3-1
M00632|GATA4,0.14576076159852888,GATA4
MC00411|BATF,0.15041854255823273,BATF
MC00304|FOXH1,0.15109069459750826,FOXH1
MA0103|ZEB1,0.15376026851533264,ZEB1
MC00195|Myf5,0.1571820919298868,Myf5
MS00566|NKX2-3,0.1614529776329811,NKX2-3
MC00118|GATA2,0.16154540233274342,GATA2
MC00334|SIX5,0.16222492478485173,SIX5
MC00111|Bcl6,0.162230973745274,Bcl6
MC00465|NR3C1,0.16902139507523817,NR3C1
UP00132|Evx2,0.170129686133639,Evx2
MS00194|TBX19,0.1740622601625237,TBX19
UP00192|SIX1,0.17432029139312558,SIX1
MS00254|FIGLA,0.17481601697826582,FIGLA
MC00347|STAT4,0.17557002817227266,STAT4
UP00193|Rhox11,0.17761467364885428,Rhox11
UP00148|Hdx,0.18182591891189698,Hdx
M00133|POU3F1,0.19189194174011207,POU3F1
M01081|ZNF628,0.19406261622030035,ZNF628
MS00729|ZNF282,0.2054835580361127,ZNF282
MS00609|RHOXF1,0.21819715147652127,RHOXF1
M01312|NKX2-1,0.2182251618317522,NKX2-1
MC00369|Myod1,0.21835791908737726,Myod1
MC00504|Scx,0.22374874831677208,Scx
MS00433|DMBX1,0.22894565369405884,DMBX1
MC00157|Tead4,0.23151122594186893,Tead4
MS00201|SNAI2,0.23469643932572473,SNAI2
M00454|ARID5B,0.24508943620544096,ARID5B
MS00313|Creb5,0.24824192887832575,Creb5
MC00162|LMO2,0.2608971014869503,LMO2
UP00112|Gsc,0.2608992852839171,Gsc
MS00686|RORA,0.26890367518291514,RORA
MS00095|TGIF2LX,0.2695024690240809,TGIF2LX
MS00572|NKX3-1,0.2722121775982602,NKX3-1
MS00665|NR4A2,0.2847108514276544,NR4A2
MC00325|Gata2,0.2897758918635726,Gata2
MS00294|ATF7,0.2913797108896989,ATF7
UP00388|SIX6,0.29245301741253693,SIX6
M01069|GZF1,0.29495380509496943,GZF1
M01295|ATF5,0.2982974679699426,ATF5
MS00221|TEAD3,0.2990287091264431,TEAD3
MS00179|SCRT1,0.30332186422701973,SCRT1
M01733|MZF1,0.30344143848327376,MZF1
UP00056|RFX4,0.3037758820043758,RFX4
MC00293|Gfi1b,0.30817689614077365,Gfi1b
M00105|CUX1,0.3093361855669339,CUX1
MS00261|ID4,0.32369908991970564,ID4
MS00094|TGIF1,0.3256811174878656,TGIF1
MS00479|ZNF784,0.3267100173986441,ZNF784
MC00186|Nr1d2,0.3285355090660088,Nr1d2
UP00107|Nkx2-4,0.3347874915336792,Nkx2-4
MS00192|TBX15,0.33893416593748116,TBX15
MS00214|TBX4,0.34272587218999334,TBX4
M00750|HMGA1,0.3471957889623077,HMGA1
M01694|Yy2,0.35614052916666133,Yy2
MS00668|Nr2e1,0.35876502349536027,Nr2e1
MC00408|Myb,0.3587680080127174,Myb
MS00463|GSC2,0.3592029419315141,GSC2
M01067|GFI1,0.35994747402836447,GFI1
MS00811|RARB,0.370772464419082,RARB
M00420|MEIS1::HOXA9,0.37811799606192564,MEIS1::HOXA9
MS00571|NKX2-8,0.39468931675967706,NKX2-8
MC00355|SRF,0.3990897233312613,SRF
MC00508|Batf,0.39988420454979773,Batf
MS00756|E2F7,0.40711707200355396,E2F7
MS00091|PKNOX1,0.41626133138858845,PKNOX1
MS00626|VSX1,0.4172636469695854,VSX1
MS00728|ZNF232,0.41860954039289966,ZNF232
M01268|NR1H4,0.42330100599466425,NR1H4
MS00219|TEAD1,0.4245983743942515,TEAD1
MS00556|GRHL1,0.42606731961393285,GRHL1
M00433|Hmx3,0.4282457019549366,Hmx3
M01108|HOXA7,0.43193168503921087,HOXA7
MA0442|SOX10,0.4375396285561056,SOX10
MS00553|MEOX2,0.44464371041939477,MEOX2
MS00459|GBX1,0.4479535365921913,GBX1
UP00243|Isx,0.45022875601912316,Isx
MS00271|NEUROD2,0.4557433772694466,NEUROD2
MC00119|GATA3,0.4730706625536838,GATA3
MS00419|BSX,0.4776012392366913,BSX
MS00390|ZNF238,0.48113222902725195,ZNF238
MS00190|SCRT2,0.48921838329317613,SCRT2
MS00573|NKX3-2,0.4945321184043452,NKX3-2
MC00329|Srf,0.5088540730495106,Srf
UP00044|Mafk,0.5116815746356742,Mafk
M00999|AIRE,0.5236416062444891,AIRE
UP00177|Hoxd12,0.5245511621433603,Hoxd12
MS00092|PKNOX2,0.538984714242331,PKNOX2
UP00231|NKX2-2,0.5405267858505016,NKX2-2
UP00080|Gata5,0.5482237208053087,Gata5
MS00528|ISL2,0.5533949114140863,ISL2
UP00186|MEIS1,0.5607720707820361,MEIS1
M01151|Dmrtc2,0.5612756501008,Dmrtc2
MS00525|Hoxd9,0.5715188519608212,Hoxd9
MS00730|ZNF435,0.5721795640970988,ZNF435
MS00291|Tcf21,0.5895833861916133,Tcf21
M01300|HMGA2,0.6212010420372852,HMGA2
MC00211|NFATC1,0.6217977102410943,NFATC1
