GENE,cluster1,cluster2,cluster3,cluster4
DGKQ,1.0030787317628504e-05,0.00011822264315428602,0.9998717465695279,0.0
DHRS2,1.209314607350896e-22,0.00021813787052043086,0.9997818621294796,0.0
DISP2,2.6163302953658468e-52,0.007599912548772416,0.9924000874512267,0.0
DLEC1,1.140574566974799e-25,0.0005550761611737572,0.9994449238388263,0.0
DLEU7,1.2553040447315988e-41,0.0005980491482013702,0.9994019508517981,0.0
DLGAP1-AS1,0.9999522554626921,4.340539413964111e-09,4.774019676841199e-05,0.0
DNAAF3,0.0,1.0,9.017402151766915e-21,0.0
DNAH11,2.4655239404327526e-96,0.00015018254946721598,0.9998498174505333,0.0
DNAH7,0.9951752136531805,1.2608786031607345e-07,0.004824660258958802,0.0
DNAH9,9.845490865560353e-22,0.00013344154912413184,0.9998665584508766,0.0
DNAI1,5.616728676963921e-12,5.88635719845003e-05,0.999941136422398,0.0
DNAI2,2.7659338972230737e-64,0.0011514042157017765,0.9988485957842986,0.0
DNAJB13,0.9999643091909232,2.2078910039056253e-09,3.568860118577555e-05,0.0
DNAJC25,0.9999988676635827,5.2050403809970135e-11,1.1322843670634143e-06,0.0
DNALI1,0.9999893581583258,3.8077785598726613e-10,1.064146089640325e-05,0.0
DNASE1L3,3.358020631233096e-67,0.00364934344541823,0.9963506565545813,0.0
DNER,4.735335710942911e-264,0.00539397766540726,0.9946060223345935,0.0
DNM3,2.662250830979329e-20,6.306515623002822e-05,0.9999369348437708,0.0
DOK3,0.9999845708908889,1.0100570932419466e-09,1.5428099054051913e-05,0.0
DPPA2,0.9992200273526854,4.5466331573794354e-08,0.0007799271809827854,0.0
DPY19L1P2,0.9999956175307245,2.1742150550708986e-10,4.382251854028366e-06,0.0
DQX1,1.0597383951731132e-114,0.9983439210229503,0.0016560789770508723,0.0
DRC1,0.0014845011275126565,4.779616228198869e-05,0.9984677027102056,0.0
DRC7,3.29184534809743e-263,0.895703433885279,0.10429656611472209,0.0
DRD2,0.0,0.9971161512095698,0.002883848790428913,0.0
DRP2,0.0,1.0,7.870838723552382e-21,0.0
DUOX1,0.0,1.0,1.111184561593349e-28,0.0
DUSP18,0.0024213028454942173,0.00010582294572413964,0.9974728742087816,0.0
DUSP4,1.5795876833557366e-247,0.9999660079406221,3.399205937834493e-05,0.0
DYNC1I1,2.715248543808024e-35,0.00035110721034485636,0.999648892789655,0.0
EBF3,0.0,1.0,3.089864188706926e-49,0.0
ECM1,0.9999986682979863,5.998877664453153e-11,1.331642025081951e-06,0.0
EDA2R,4.6784779492641366e-52,0.7154086881121331,0.28459131188786524,0.0
EFEMP1,3.6762012763508594e-89,0.0006665730516681465,0.9993334269483324,0.0
EFEMP2,0.9995244461703672,2.2633226274766997e-08,0.00047553119640629684,0.0
EFHB,0.999994857965433,3.253760267482451e-10,5.141709190839135e-06,0.0
EFHC2,7.572620540299958e-183,0.9999999999793729,2.06256847985189e-11,0.0
EFHD1,1.56419797569283e-154,0.010907596959609505,0.9890924030403908,0.0
EFNB2,2.155705928767834e-121,0.001010549724016009,0.9989894502759841,0.0
EGF,3.1549489772454237e-23,0.0031321487273257313,0.9968678512726732,0.0
EGFLAM-AS4,1.6638806149969518e-154,0.23613013781963546,0.7638698621803646,0.0
EHD2,5.145757087332029e-25,0.00035117393505919585,0.999648826064941,0.0
EID3,0.9999978101508701,1.0427516246191098e-10,2.1897448546800466e-06,0.0
ELF3,7.717153021937753e-17,0.000134831397390638,0.9998651686026089,0.0
ELMO1,4.193053017609176e-59,0.0012827706713372594,0.9987172293286632,0.0
EMBP1,2.3881523034378635e-29,0.0001782317306504228,0.9998217682693501,0.0
EMX2OS,0.0,1.0,1.7770367129471818e-70,0.0
ENKUR,0.9999970999276849,1.4324662552488514e-10,2.8999290685588587e-06,0.0
EPAS1,3.483957743237662e-136,0.9984517174308315,0.0015482825691684838,0.0
EPB41L3,1.5067526819474685e-34,0.0001868148775026464,0.9998131851224975,0.0
EPHB1,2.259197090196853e-118,0.0017425303361233964,0.9982574696638766,0.0
EPOR,1.3609718323706605e-07,9.407636440189512e-05,0.999905787538414,0.0
EPS8,2.582506336987516e-102,0.0011384978060666854,0.9988615021939348,0.0
EPS8L2,5.4579896698678555e-46,0.0026518759354162355,0.9973481240645846,0.0
ERMN,0.5115214303582449,2.24123980201316e-05,0.48845615724373415,0.0
ERN2,8.154549385755835e-170,0.1793779011146699,0.8206220988853298,0.0
ERO1B,3.755880088754385e-30,0.0003395502361825336,0.999660449763818,0.0
ERRFI1,5.097564774706639e-61,0.00016759138847682376,0.9998324086115237,0.0
ESRRG,2.9137481697490694e-10,9.769717393201514e-05,0.9999023025346927,0.0
ETV3L,1.418853434122398e-54,0.0020296601978474576,0.9979703398021521,0.0
EVX1,0.0,1.9282564793664565e-121,0.0,1.0
EVX1-AS,0.0,4.906699635481464e-119,0.0,1.0
EWSAT1,2.5830236915565836e-65,0.012687087238847244,0.987312912761152,0.0
F10,2.2500715157484493e-225,0.9999999970782376,2.921761922911636e-09,0.0
F13A1,3.8353731802620086e-118,0.0012888909034124184,0.9987111090965877,0.0
FA2H,4.1728199215190877e-153,0.023368994263541946,0.9766310057364591,0.0
FAM110C,4.872082278508692e-124,0.014514884904239361,0.9854851150957602,0.0
FAM124B,0.0019238492449546655,6.675994031625573e-05,0.9980093908147297,0.0
