,Peak0,Peak1,Peak2,Peak3,Peak4,Peak5,Peak6,Peak7,Peak8,Peak9,Peak10,Peak11,Peak12,Peak13
TRPC4AP,0.106567364528771,0.0191676103938729,0.205084259605644,0.164072756806552,0.0620323298243165,0.10011025441027,0.0399793026961587,0.0967595604308675,0.0545728933481898,0.0649640121977511,0.0723276556991734,0.0573973018363719,0.119123666326005,0.175419492006438
EDEM2,0.0852136316257523,0.0908229688731324,0.0708092742780016,0.1533716996427,0.0633342999220217,0.118201511289012,0.0656770708395801,0,0.0255672537011794,0.165644150829413,0.0175027522782784,0.098355024725206,0.114470449883432,0.035356653906081
PROCR,0.055347399346103,0.00862745771977687,0.0929733125156038,0.0189064509296382,0.0310982620580209,0.0329174372361995,0,0,0,0,0,0.02706457603526,0,0
MMP24-AS1,0.3092911921645,0.123967384638388,0.312187335157164,0.114244915355024,0.252160395500141,0.305968973667493,0.0465541057401955,0.131257464018956,0.123399832333207,0.243854779949601,0.106083304038403,0.12021170510186,0.07735708625921,0.175211594411627
EIF6,0.81640657776352,0.326049734597774,1.14952511213502,0.539815205816765,0.659594959117548,0.858646917777673,0.753364126485511,0.450632251680717,0.336543227470621,0.243765322303448,1.57821975813114,1.17541921211534,0.471881456610744,1.14928749208987
UQCC1,0.00618132083394359,0,0,0.0666428876351886,0.034028303945384,0.00898452343045821,0,0,0.0283619199362763,0,0.0180160440799702,0,0,0.011738911942397
CEP250,0.00123694562700652,0.0113855192866171,0,0,0,0,0,0,0,0,0,0,0,0
RP3-477O4.14,0.00147807197093637,0.0100574421189522,0.0325260076847111,0.0410558452277872,0.0296334412157288,0.0225844030998232,0,0,0,0,0.0183108938369746,0.103580831044154,0,0
ERGIC3,0.231002225974652,0.202264132431252,0.391062308554293,0.222244368834721,0.243378673677845,0.236616829574575,0.256301109364114,0.198240759249463,0.260793355649883,0.279257086654744,0.243147887769599,0.623208704010252,0.30555926616833,0.433003060504805
SPAG4,0,0.017827294755786,0,0,0,0,0.0709663419387907,0.0248703178540575,0,0,0,0,0,0.00768236833304102
CPNE1,0.068207005007173,0.260252079200991,0.111005645984773,0.364440313787066,0.224741444118131,0.204406924173692,0.223097194508688,0.10328397684311,0.223195605312513,0.1518755762137,0.241122329320936,0.363624344727482,0.286385484932762,0.139168425696203
